SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Pred_L,Pred_a,Pred_b,Target_L,Target_a,Target_b,Delta_E
0.0,395.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,150.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.289692,1.2278032,2.119922,33.3,1.26,2.14,0.03931943003092551
0.0,187.0,0.0,0.0,0.0,0.0,220.0,418.0,0.0,0.0,0.0,0.0,0.0,20.0,165.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,37.744194,-1.036126,10.396192,37.74,-1.06,10.35,0.05216531954360653
0.0,55.0,0.0,77.0,0.0,0.0,247.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,46.393475,-12.227357,3.7633035,46.37,-12.25,3.72,0.05421217614226037
0.0,30.0,0.0,350.0,350.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.568233,-20.22657,-9.380549,39.51,-20.24,-9.41,0.06662459609144585
0.0,26.0,0.0,156.0,132.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,45.844505,-12.369341,-18.343212,45.9,-12.42,-18.34,0.07520853098285973
0.0,10.0,0.0,0.0,774.0,0.0,172.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,42.372997,-27.465946,14.541322,42.3,-27.45,14.57,0.08003328335445563
0.0,573.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,31.301685,-0.96562576,-3.964623,31.27,-0.96,-4.04,0.08195916996213266
0.0,19.0,0.0,0.0,0.0,0.0,270.0,270.0,0.0,0.0,0.0,292.0,0.0,0.0,135.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,48.41835,24.664572,25.472837,48.41,24.65,25.56,0.08876583165810883
0.0,629.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,166.0,0.0,0.0,163.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.560661,0.44190294,-3.0120733,29.49,0.5,-3.01,0.09150185218694672
0.0,297.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,301.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.384785,0.43703908,2.787017,37.38,0.47,2.69,0.10257502044161725
0.0,191.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,665.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,47.41299,-0.2584721,-0.807802,47.36,-0.18,-0.87,0.11328928390025435
0.0,215.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,670.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,46.193188,-1.021354,-0.64417523,46.26,-0.94,-0.69,0.1148140141128121
0.0,300.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.187893,-0.0027985664,5.3958077,33.13,0.05,5.48,0.11501136555486641
0.0,100.0,0.0,0.0,158.0,0.0,642.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,39.33023,-12.431804,15.29999,39.3,-12.53,15.36,0.11898590149204855
0.0,49.5,0.0,0.0,0.0,56.0,130.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,657.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,56.44138,6.410386,11.7137575,56.35,6.49,11.71,0.1212547563219944
0.0,387.0,0.0,0.0,0.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.41911,1.001622,4.9456515,33.44,1.12,4.92,0.12291371167936731
0.0,0.0,0.0,700.0,0.0,0.0,16.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,180.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,36.5258,-2.013807,-31.789755,36.55,-1.96,-31.68,0.12460749847250484
0.0,115.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.003605,-1.0869082,-13.344124,29.07,-1.17,-13.41,0.1251088441524239
0.0,65.0,0.0,0.0,150.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,56.319767,-14.574649,-2.816261,56.27,-14.58,-2.7,0.1265781233608887
