SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Pred_L,Pred_a,Pred_b,Target_L,Target_a,Target_b,Delta_E
0.0,0.0,0.0,180.0,74.0,0.0,40.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,740.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,62.318233,-31.133764,-10.75964,62.37,-31.12,-10.77,0.054557873778410315
0.0,430.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,250.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.20548,3.6465635,1.1305053,32.26,3.68,1.16,0.0704308816867279
0.0,0.0,0.0,0.0,14.0,30.0,836.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,78.17608,-10.719733,71.211395,78.2099999999998,-10.79,71.23,0.08021347816555471
0.0,42.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,161.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.81725,-1.9558709,-22.845345,34.87,-1.96,-22.91,0.08354648019731904
0.0,0.0,0.0,700.0,0.0,0.0,10.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,210.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.00219,-0.71951693,-33.662586,37.08,-0.71,-33.7,0.08686090169728364
0.0,480.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,380.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.94798,-0.45208746,-2.7992153,34.99,-0.54,-2.79,0.09787391423337403
0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,35.0,0.0,0.0,594.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.990257,-0.10119591,-5.2832065,41.08,-0.15,-5.33,0.11236206308005627
0.0,0.0,0.0,620.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43.75725,-7.757769,-35.302425,43.86,-7.73,-35.26,0.11457853916075017
0.0,77.0,0.0,81.0,0.0,0.0,17.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,331.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.55592,2.532016,-17.310514,37.64,2.61,-17.29,0.11649826855209383
0.0,0.0,0.0,160.0,0.0,200.0,260.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.580902,-12.61744,3.9418173,38.65,-12.65,4.03,0.11666554906151902
0.0,109.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.359789,3.0727687,-10.753085,28.3,2.97,-10.77,0.12009258015694937
0.0,420.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,218.0,84.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.583395,3.3184369,2.2284627,30.47,3.33,2.27,0.12131562468999087
0.0,390.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,330.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35.956497,0.02066623,-0.49131414,35.89,-0.03,-0.58,0.12187749893588222
0.0,0.0,0.0,690.0,0.0,36.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,132.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.442806,-5.838909,-27.525864,37.48,-5.77,-27.62,0.12244794486543668
0.0,296.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,723.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,43.11002,0.084812924,-1.6924924,43.12,0.04,-1.81,0.1261580317638004
0.0,30.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,70.0,0.0,0.0,440.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43.42574,-1.3650837,-25.979094,43.4,-1.44,-25.88,0.12686408386768017
16.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,240.0,0.0,0.0,305.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,57.949707,38.606026,32.289898,58.04,38.53,32.34,0.12823004787551084
0.0,0.0,0.0,0.0,500.0,0.0,58.0,120.0,0.0,0.0,0.0,0.0,55.0,0.0,263.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,44.231144,-23.99498,6.555102,44.13,-23.95,6.62,0.12831622521577987
